"","OBJECTID","YEAR_","STATE","AGENCY","UNIT_ID","FIRE_NAME","INC_NUM","ALARM_DATE","CONT_DATE","CAUSE","COMMENTS","REPORT_AC","GIS_ACRES","C_METHOD","OBJECTIVE","FIRE_NUM","Shape_Leng","Shape_Area"
"1",1,"2007","CA","CCO","LAC","OCTOBER","00246393",2007-10-21,2007-10-23,14,NA,0,25.7367,8,1,"00233414",1902.43905129,104152.781054
"2",2,"2007","CA","CCO","LAC","MAGIC","00233077",2007-10-22,2007-10-25,14,NA,0,2824.88,8,1,"00233077",20407.9656623,11431872.5101
"3",3,"2007","CA","USF","ANF","RANCH","00000166",2007-10-20,2007-11-15,2,NA,54716,58410.3,7,1,"00000166",169150.71569,236378245.169
"4",4,"2007","CA","CCO","LAC","EMMA","00201384",2007-09-11,2007-09-11,14,NA,0,172.215,8,1,"00201384",6117.77708616,696929.169753
"5",5,"2007","CA","CCO","LAC","CORRAL","00259483",2007-11-24,2007-11-27,14,NA,0,4708,8,1,"00259483",22907.182174,19052588.5082
"6",6,"2007","CA","CCO","LAC","GORMAN","00109398",2007-05-19,2007-05-22,14,NA,0,2373.84,8,1,"00109398",19693.2088222,9606609.352
"7",7,"2007","CA","CCO","LAC","WEST","00148311",2007-07-07,2007-07-08,14,NA,0,245.234,8,1,"00148311",5881.59045422,992426.638872
"8",8,"2007","CA","CCO","LAC","PEARBLOSSOM","00177427",2007-08-13,2007-08-14,14,NA,0,81.0335,8,1,"00177427",4123.60776066,327930.933578
"9",9,"2007","CA","CCO","LAC","SKYLINE","00183643",2007-08-21,2007-08-23,14,NA,0,95.4186,8,1,"00183643",3590.08716264,386145.195978
"10",10,"2007","CA","CCO","LAC","SESNON","00231876",2007-10-21,2007-10-21,14,NA,0,30.3014,8,1,"00231876",1675.72825032,122625.490134
"11",11,"2007","CA","CCO","LAC","SOLEDAD","00233414",2007-10-22,2007-10-23,14,NA,0,44.1678,8,1,"00233414",2054.35231227,178740.620699
"12",12,"2007","CA","CCO","LAC","Y","00233912",2007-10-23,NA,14,NA,0,22.4917,0,1,"00233912",1661.0259251,91020.7999436
"13",13,"2007","CA","CDF","MVU","ANGEL 3","00009233",2007-09-15,2007-09-25,4,NA,837,832.127,7,1,"00000000",17923.8461799,3367496.61342
"14",14,"2007","CA","CDF","MVU","BANNER","00006310",2007-07-01,2007-07-03,14,NA,0,95.1513,7,1,"00000000",3492.89109334,385063.478906
"15",15,"2007","CA","CDF","HUU","CHAMBERS","00003235",2007-07-27,2007-07-29,7,NA,55,54.6964,2,1,"00000000",3032.1606929,221348.302922
"16",16,"2007","CA","CDF","HUU","BROWN","00002877",2007-07-08,2007-07-08,2,NA,20,18.7318,2,1,"00000000",1469.31244723,75804.7998027
"17",17,"2007","CA","CDF","HUU","DRIFTWOOD","00004908",2007-10-25,2007-11-05,14,NA,70,52.973,1,1,"00000000",4353.27129529,214373.93563
