ICS_209_region,State-Unit,Incident Number,Incident Name,Incident Type,Start Date,IC Name,Team Type,Latitude,Longitude,Size,Measurement,Costs,Controlled Date,Structures Destroyed
Northern California,,CA MEU-007499,BURNS,,09/19/2002 1500,L. Grafft ,,39.768056,123.551389,485 ACRES,,"$1,144,454 ",09/26/2002 0800,
Northern California,,,DEL WALTERS ,,1 ,,,,,,,,,
Northern California,,,BC LARRY GRAFFT ,,,,,,,,,,,
Northern California,,CA-BOD-2109,RUSH FIRE,,07/13/2002 1812,L. SZCZEPANIK ,2 ,40.633333,120.134167,"3,000 ACRES",,"$100,000 ",,
Northern California,,CA-BTU-006327,SKYWAY,,06/08/2002 1408,KURT HOAG ,1 ,39.700833,121.751389,"1,000 ACRES",,"$250,000 ",06/10/2002 0800,
Northern California,,,D2101 BILL HOLMES ,,1 ,,,,,,,,,
Northern California,,CA-BTU-010147,DURHAM,,08/26/2002 1543,BILL ORTHEL ,,39.633333,121.652222,141 ACRES,,,08/27/2002 1200,
Northern California,,CA-BTU-014062,BEAN,,11/26/2002 0300,"Bob Wallen, Division Chf ",,39.551944,121.433889,250 ACRES,,"$450,000 ",,
Northern California,,,"John Hawkins, D.Chf. ",,,,,,,,,,,
Northern California,,,DC BOB WALLEN ,,,,,,,,,,,
Northern California,,,BC WAYNE WILSON ,,,,,,,,,,,
Northern California,,CA-BTU-08545,BUTTE COMPLEX,,07/21/2002 0000,HENRY BRACHIAS ,,39.69,121.61,150 ACRES,,"$532,704 ",07/24/2002 0800,
Northern California,,,John Hawkins ,,,,,,,,,,,
Northern California,,CA-ENF-11411,St. Pauli,,07/27/2002 1559,Dale Donohue ,3 ,38.77,120.4,320 ACRES,,,07/29/2002 0800,
Northern California,,,Bob Patton ,,3 ,,,,,,,,,
Northern California,,CA-ENF-18738,Plum,,11/25/2002 0851,Howard Carlson ,2 ,38.733333,120.384444,"1,765 ACRES",,"$100,000 ",11/30/2002 1800,
Northern California,,,Ed Chico ,,3 ,,,,,,,,,
Northern California,,CA-HIA-00203,Supply Creek #13,,08/14/2002 1600,Linda Szczepanik ,2 ,41.034444,123.667222,410 ACRES,,"$1,700,000 ",08/19/2002 1800,
Northern California,,CA-HIA-252,Big Hill,,09/21/2002 1400,Rod Mendes ,,41.093333,123.6375,177 ACRES,,"$1,180,694 ",09/26/2002 1900,
Northern California,,,Gary Risling ,,,,,,,,,,,
Northern California,,CA-HUU-0001596,KELLOGG,,04/28/2002 1230,Don Brooks ,,0,0,300 ACRES,,$0 ,04/29/2002 1500,
Northern California,,CA-KNF-1997,FORKS,,06/09/2002 1454,Chuck McElwain ,2 ,41.268611,123.335278,"1,400 ACRES",,"$2,300,000 ",06/17/2002 1800,
Northern California,,,ROD MENDEZ ,,2 ,,,,,,,,,
Northern California,,,MIKE JOURNEY ,,2 ,,,,,,,,,
Northern California,,CA-KNF-2988,STANZA,,07/22/2002 2000,District ,,41.6525,123.3,"2,880 ACRES",,"$5,300,000 ",08/09/2002 0600,
Northern California,,,Mendez ,,3 ,,,,,,,,,
Northern California,,,Menendez ,,1 ,,,,,,,,,
Northern California,,,Raley ,,1 ,,,,,,,,,
Northern California,,,Carlson ,,2 ,,,,,,,,,
Northern California,,,PERKINS ,,3 ,,,,,,,,,
Northern California,,CA-KNF-3049,EAGLE,,07/25/2002 1730,Szczepanik ,2 ,41.833333,122.834722,184 ACRES,,"$700,000 ",07/28/2002 1800,
Northern California,,,Kroetch/Rothenberger ,,3 ,,,,,,,,,
Northern California,,,KROETCH ,,3 ,,,,,,,,,
Northern California,,CA-LNF-3269,CONE,,09/26/2002 1345,Howard Carlson ,2 ,40.766944,121.2,"2,006 ACRES",,"$2,900,000 ",,
Northern California,,,Larry Vogan ,,3 ,,,,,,,,,
Northern California,,,LARRY TURMAN ,,3 ,,,,,,,,,
Northern California,,CA-LNU-006171,POPE,,08/09/2002 1417,DC C. JOINER ,,38.600833,122.417222,785 ACRES,,"$583,000 ",08/11/2002 2000,
Northern California,,,BC KLEBE ,,,,,,,,,,,
Northern California,,CA-LNU-008020,16,,10/01/2002 2338,Ladd ,,38.9,122.245833,"1,533 ACRES",,,10/04/2002 1800,
Northern California,,,Klebe ,,,,,,,,,,,
