,year,incident,containment,start_date,end_date,cdf_burned,other_burned,total_burned,struct_dest,struct_dam,death_fire,death_civil
1,2000,TGU-803,100%,3/31/00,4/5/00,NA,1500,NA,NA,NA,NA,NA
2,2000,MNF-177,NA,4/1/00,NA,NA,1540,NA,NA,NA,NA,NA
3,2000,TGU-851,100%,4/2/00,4/3/00,NA,400,400,NA,NA,NA,NA
4,2000,LMU-630,100%,4/4/00,4/5/00,NA,500,500,NA,NA,NA,NA
5,2000,BDU-4016,100%,5/29/00,6/1/00,NA,740,740,NA,NA,NA,NA
6,2000,TUU-4863,100%,6/1/00,6/1/00,497,NA,497,0,0,0,0
7,2000,ANF-2059,NA,6/6/00,NA,NA,356,356,NA,NA,NA,NA
8,2000,VNC-14831,NA,6/11/00,6/11/00,NA,800,800,NA,NA,NA,NA
9,2000,BTU-5945,100%,6/13/00,6/13/00,475,NA,475,0,6,0,0
10,2000,LNU-3087,100%,6/13/00,6/16/00,5731,NA,NA,15,5,0,0
11,2000,TUU-5549,100%,6/18/00,6/18/00,400,NA,400,0,0,0,0
12,2000,VNC-16413,100%,6/26/00,6/26/00,NA,400,400,NA,NA,NA,NA
13,2000,TUU-5954,100%,6/28/00,6/28/00,450,NA,450,0,0,0,0
14,2000,MVU-4431,100%,6/29/00,6/30/00,2000,NA,NA,NA,NA,NA,NA
15,2000,MMU-9447,100%,7/2/00,7/4/00,2000,NA,NA,0,0,0,0
16,2000,BDU-5166,100%,7/3/00,7/4/00,600,NA,600,0,0,0,0
17,2000,BDU-5318,100%,7/7/00,7/8/00,NA,300,300,NA,NA,NA,NA
18,2000,TUU-6521,100%,7/9/00,7/9/00,320,NA,320,0,0,0,0
19,2000,LMU-1817,100%,7/17/00,7/20/00,1084,NA,NA,0,0,0,0
20,2000,SKU-2492,100%,7/21/00,7/26/00,NA,1715,NA,NA,NA,NA,NA
21,2000,BBD-1891,100%,7/22/00,NA,NA,6300,NA,NA,NA,NA,NA
22,2000,MVU-5080,100%,7/22/00,7/22/00,NA,300,300,NA,NA,NA,NA
23,2000,BDU-5882,100%,7/23/00,7/28/00,NA,5500,NA,3,NA,NA,NA
