system:index,AGENCY,ALARM_DATE,CAUSE,COMPLEXNM,CONT_DATE,FIRE_NAME,GIS_ACRES,INCOMPLEX,MAPMETHOD,YEAR,YEARn,histogram,.geo
0000d34d10a18e0475b1,USF,1.02654E+12,1,,1.03674E+12,BISCUIT,501082.0313,,,2002,33,"1=7200.882352941166, 8=31467.49411764714, 7=118.0, 9=3.0, 10=47.79607843137258, 5=108.0",
0000680773c8368e91e1,USF,1.50105E+12,1,,1.50261E+12,STEELE,45704.01172,,,2017,48,"1=19245.81568627451, 2=51868.97647058834, 7=6856.203921568625, 5=49.062745098039215, 8=127072.47450980372, 11=283.24705882352936, 10=100.87843137254903",
00001cfa4c736c74ec44,USF,1.34424E+12,1,,1.34787E+12,BARRY POINT,92944.53125,,,2012,43,"1=128999.82745098024, 2=4041.0274509803926, 8=31447.850980392308, 7=9821.615686274516, 11=398.45098039215685, 5=84.0",
00008fcce0e2d984e2fc,BLM,1.12469E+12,1,,1.12625E+12,BARREL,24410.2168,,,2005,36,,
00003bcd477602c9c771,BLM,1.4042E+12,1,,1.40869E+12,COLEMAN,15242.86816,,,2014,45,,
0000fce5d88f60270661,USF,9.97254E+11,1,,9.98377E+11,BLUE,34218.84766,,,2001,32,"1=31197.109803921645, 2=3929.509803921568, 7=39381.34117647059, 5=3221.5882352941176, 8=73128.6862745095, 11=2069.0901960784313, 10=741.0",
0000c2be54c19518aef4,BLM,1.34475E+12,1,,1.35089E+12,RUSH,315511.5,,,2012,43,"1=1423.6431372549018, 2=51648.6980392157, 7=2749.56862745098, 5=394.89019607843136, 8=1135974.5137254873, 11=5733.776470588232, 10=1130.6352941176472",
00000139e77d203b5826,BLM,1.43859E+12,2,,1.43979E+12,DODGE,10517.5166,,,2015,46,"1=581.0, 7=0.3607843137254902, 2=10048.545098039245, 8=36529.69803921568, 11=98.121568627451, 5=33.02745098039216",
0000be6b9e78c9537fc9,USFS,,0,,,STONE,39387.02847,N,Infrared Image,2018,49,"1=92981.45490196059, 2=27276.509803921686, 7=4535.650980392157, 5=25.152941176470588, 8=51523.07450980392, 9=2.278431372549019, 11=157.3411764705882, 10=382.21568627450984",
000037cf725130f6c718,CDF,1.4067E+12,1,,1.40791E+12,DAY,13150.66602,,,2014,45,"1=46735.290196078306, 7=5085.0392156862745, 6=174.90196078431373, 5=1253.9725490196083, 8=4864.066666666667, 11=15.20392156862745, 10=1.0",
000036972e23aa951197,USF,1.50097E+12,1,,1.50468E+12,COVE,30890.86133,,,2017,48,"1=85220.48627450988, 7=3964.215686274508, 2=12158.38823529412, 8=37195.73725490209, 5=76.91764705882353",
0000bc74f23b74cba557,CDF,1.2142E+12,1,,1.21662E+12,CORRAL FIRE,12434.28906,,,2008,39,"1=31559.317647058917, 7=2974.83137254902, 2=4388.654901960784, 8=16412.431372549036, 11=560.2039215686276, 5=13.0",
00007d7dd8ef88f1ca25,USFS,,0,,,WHALEBACK,18702.50618,N,Mixed Methods,2018,49,"1=32319.509803921625, 2=2898.8784313725487, 7=196.49803921568628, 8=47730.21960784306, 9=2.156862745098039, 11=252.92549019607847, 10=346.1254901960781",
000063ea6696169d0300,USF,1.4067E+12,1,,1.40809E+12,BALD,39752.19531,,,2014,45,"1=98173.4039215683, 2=13945.94901960786, 7=992.4901960784309, 6=441.0, 5=248.95294117647057, 8=64173.81176470572, 11=390.2039215686275, 10=44.654901960784315",
0000acc4c1066f14f82e,USF,1.40679E+12,9,,1.40886E+12,EILER,31995.21875,,,2014,45,"1=112748.88627450968, 2=78.29411764705883, 7=2549.38431372549, 6=383.1137254901961, 5=1214.705882352941, 8=17008.88627450983, 9=6.0, 11=117.25490196078432, 10=292.69019607843137",
0000ce7ecc99c2bc977f,NPS,1.34303E+12,14,,1.35279E+12,READING,28073.20313,,,2012,43,"1=116776.67843137185, 7=667.2039215686276, 8=4415.101960784314, 5=32.34117647058824, 11=141.67058823529413, 10=685.1843137254903",
00004eaa3f104856b69b,USFS,,0,,,HIRZ,46458.10069,N,Infrared Image,2018,49,"1=133008.8549019608, 7=129.6392156862745, 6=2329.9176470588236, 5=60625.57254901962, 8=12218.756862745096, 9=6.11764705882353, 10=26.96078431372549",
000000d65ff5a37187cb,USF,1.34527E+12,1,,1.35149E+12,BAGLEY,46040.14844,,,2012,43,"1=170881.49411764657, 7=231.04313725490198, 8=13930.713725490195, 6=46.0, 10=12.235294117647058, 5=21790.09019607846",
00004ca967afa634acb3,USFS,,0,,,DELTA,63505.60025,N,Mixed Methods,2018,49,"1=222759.74117646925, 7=1169.7019607843138, 6=1410.6823529411763, 5=35808.22745098046, 8=20038.325490196083, 9=1054.0156862745098, 11=54.0, 10=578.364705882353",
0000352879a105734fd0,USF,1.50243E+12,1,,1.51056E+12,WALLOW,63785.07031,,,2017,48,"1=220305.89803921393, 7=355.0156862745098, 8=57065.196078431225, 11=713.4431372549019, 5=4179.070588235293, 10=316.043137254902",
00003bf10ed58e36c281,USF,1.40774E+12,1,,1.41206E+12,FRYING PAN,133177.375,,,2014,45,"1=529001.0313725453, 7=11054.66666666674, 6=23.0, 5=23933.172549019655, 8=30684.329411764822, 9=161.52549019607847, 10=165.8745098039216",
