system:index,AGENCY,ALARM_DATE,CAUSE,COMPLEXNM,CONT_DATE,FIRE_NAME,GIS_ACRES,INCOMPLEX,MAPMETHOD,YEAR,YEARn,histogram,.geo
0000d34d10a18e0475b1,USF,1.02654E+12,1,,1.03674E+12,BISCUIT,501082.0313,,,2002,33,"31=5395.509803921568, 11=648.4196078431372, 95=659.1333333333333, 52=517475.53333333245, 71=43604.76078431373, 24=13.0, 90=1368.6392156862744, 41=391.00000000000006, 23=197.42352941176472, 82=77.03137254901961, 22=2235.3882352941177, 81=113.0, 42=1616911.5450980368, 43=38834.71372549022, 21=25182.737254901964",
0000680773c8368e91e1,USF,1.50105E+12,1,,1.50261E+12,STEELE,45704.01172,,,2017,48,"71=83409.60392156852, 90=95.70980392156864, 82=22.90196078431372, 21=355.0156862745099, 42=30821.73333333338, 52=90473.20392156835, 95=203.9333333333334, 11=2.6862745098039214, 31=123.84705882352941",
00001cfa4c736c74ec44,USF,1.34424E+12,1,,1.34787E+12,BARRY POINT,92944.53125,,,2012,43,"71=44338.21568627455, 90=9.125490196078431, 21=562.9960784313726, 52=92822.68627450947, 42=276850.5411764699, 95=1014.7450980392156, 11=13.964705882352941, 31=2306.933333333334",
00008fcce0e2d984e2fc,BLM,1.12469E+12,1,,1.12625E+12,BARREL,24410.2168,,,2005,36,"71=1139.7999999999997, 90=63.635294117647064, 11=79.0, 42=1530.635294117647, 43=13.0, 95=347.2196078431373, 52=106580.59607843144",
00003bcd477602c9c771,BLM,1.4042E+12,1,,1.40869E+12,COLEMAN,15242.86816,,,2014,45,"71=768.5490196078431, 42=1298.2980392156862, 52=66241.17647058808, 95=122.15294117647059, 31=113.80392156862746",
0000fce5d88f60270661,USF,9.97254E+11,1,,9.98377E+11,BLUE,34218.84766,,,2001,32,"71=3852.73725490196, 90=7.0, 42=66105.34509803912, 52=81475.03529411758, 95=266.0, 11=695.0, 31=1463.8901960784315",
0000c2be54c19518aef4,BLM,1.34475E+12,1,,1.35089E+12,RUSH,315511.5,,,2012,43,"52=1349527.7568627389, 95=978.6627450980392, 11=726.4862745098039, 31=2.858823529411765, 71=10635.90980392157, 90=901.6392156862746, 43=4210.749019607843, 82=174.31764705882355, 42=49444.3960784314, 81=1189.5764705882352, 41=595.0, 22=183.5215686274509, 21=111.0509803921569",
00000139e77d203b5826,BLM,1.43859E+12,2,,1.43979E+12,DODGE,10517.5166,,,2015,46,"71=5.588235294117647, 90=70.45098039215686, 42=3871.976470588234, 41=23.0, 43=484.5450980392157, 95=53.0, 52=42781.686274509746",
0000be6b9e78c9537fc9,USFS,,0,,,STONE,39387.02847,N,Infrared Image,2018,49,"71=21146.643137255007, 21=15.839215686274509, 82=75.47058823529413, 23=16.662745098039213, 81=76.13725490196079, 42=92684.6274509801, 22=18.972549019607843, 52=61553.0862745094, 31=1535.6901960784305",
000037cf725130f6c718,CDF,1.4067E+12,1,,1.40791E+12,DAY,13150.66602,,,2014,45,"71=3334.7960784313736, 21=217.27058823529413, 42=46980.113725489944, 82=0.25098039215686274, 81=9.184313725490195, 41=5.0, 52=8336.666666666672, 11=3.83921568627451, 95=216.05882352941177, 31=32.0",
