system:index,AGENCY,ALARM_DATE,CAUSE,COMMENTS,CONT_DATE,C_METHOD,DtCrrnt,FID_joined,FIRE_NAME,FIRE_NUM,GISAcrs,GIS_ACRES,INC_NUM,OBJECTI,OBJECTIVE,REPORT_AC,STATE,Shape_Area,Shape_Leng,UNIT_ID,YEAR_,YEAR_num,histogram,source,.geo
000000000000000004ef,CDF,1089529200000,14,,1089961200000,0,,0,VERBENIA,00001164,0.0,3831.37,00055439,0,1,3833.0,CA,1.55050078052E7,19295.2586052,RRU,2004,2004,"{71=2558.0470588235294, 90=13.0, 21=16.984313725490196, 22=4.658823529411765, 42=1257.3686274509803, 23=2.0, 43=182.00392156862748, 41=32.0, 52=12649.960784313735, 95=5.0, 31=506.14901960784306}",,
000000000000000004d1,CDF,1119769200000,14,,,0,,0,,00001532,0.0,544.773,00000000,0,1,0.0,CA,2204617.15161,6761.06655007,MMU,2005,2005,"{71=116.10196078431369, 42=32.46666666666667, 41=37.81960784313726, 43=6.980392156862745, 52=2256.027450980393}",,
0000000000000000052b,USF,,0,,,0,,0,GATES COMPLEX,A5TO,0.0,8905.46,A5TO,0,0,0.0,NV,3.60289549173E7,37251.8700713,HTF,2004,2004,"{71=34606.568627450964, 90=65.19607843137254, 11=0.09803921568627451, 21=282.964705882353, 22=297.956862745098, 23=36.431372549019606, 42=300.6745098039216, 43=1.0, 95=19.607843137254903, 52=4420.435294117644}",,
000000000000000004b6,CCO,1120546800000,14,,1120806000000,1,,0,TOVEY,05141999,0.0,983.473,05141999,0,1,1200.0,CA,3979973.9696,14377.2837351,LAC,2005,2005,"{71=735.7215686274509, 23=0.011764705882352941, 22=4.827450980392157, 43=8.0, 21=88.64313725490199, 52=3584.3450980392163}",,
000000000000000004bc,CCO,1120546800000,8,,1120806000000,1,,0,YORBA LINDA,00041267,0.0,1078.5,00041267,0,1,1078.0,CA,4364551.04863,15276.9067753,ORC,2005,2005,"{71=109.17647058823529, 42=4.525490196078431, 43=5.984313725490197, 21=94.68235294117648, 52=4634.403921568626}",,
0000000000000000000b,CDF,1095058800000,9,,1095058800000,1,,0,BORDER #16,00000848,0.0,828.241,00007603,0,1,35.0,CA,3345152.91838,15698.4296492,MVU,2004,2004,"{71=248.0823529411765, 90=119.94117647058823, 82=196.63921568627453, 21=71.95686274509804, 23=3.0, 22=25.19607843137255, 95=54.22352941176472, 11=3.0, 52=2989.600000000001}",,
000000000000000005f2,CDF,1088146800000,2,,1088406000000,1,,0,HIGHWAY,00000181,0.0,624.936,00003485,0,1,624.0,CA,2529025.14498,8123.21558947,SCU,2004,2004,"{71=1223.1098039215683, 43=693.3372549019607, 23=11.074509803921567, 42=54.0, 22=60.88235294117652, 21=290.0627450980391, 52=477.31372549019613}",,
000000000000000005f3,CDF,1091948400000,9,,1092553200000,1,,0,KINCAID,00000281,0.0,1224.86,00004410,0,1,1224.0,CA,4956828.8067,11878.9487528,SCU,2004,2004,"{71=1639.3725490196077, 42=15.0, 43=956.0078431372555, 52=2896.639215686276}",,
000000000000000005f5,CDF,1089442800000,11,,1089442800000,1,,0,CORRAL_HOLLOW,00000225,0.0,875.499,00003829,0,1,875.0,CA,3543017.65352,8590.01107192,SCU,2004,2004,"{71=3794.858823529413, 21=61.18039215686274, 23=0.11372549019607843, 22=11.125490196078431, 43=0.2431372549019608, 95=6.76078431372549, 52=62.17647058823529}",,
000000000000000005ff,CDF,1094540400000,14,,1094713200000,1,,0,DOLCINI,00000065,0.0,364.554,00001778,0,1,365.0,CA,1475297.47496,7183.19683322,MRN,2004,2004,"{71=15.71372549019608, 42=1010.8352941176471, 41=8.0, 43=76.61960784313726, 21=76.81176470588233, 52=451.0470588235291}",,
00000000000000000601,CDF,1081065600000,14,,1081065600000,1,,0,SCOTT,00000602,0.0,609.059,00015503,0,1,700.0,CA,2464774.86184,8626.15923709,AEU,2004,2004,"{71=2491.580392156859, 21=61.835294117647024, 22=0.5568627450980392, 90=6.0, 11=3.0352941176470587, 52=175.10196078431372}",,
00000000000000000637,CDF,1086246000000,11,,1086246000000,1,,0,BEALE,00000282,0.0,433.548,00009119,0,1,300.0,CA,1754507.25234,10658.5767363,NEU,2004,2004,"{21=18.09803921568627, 71=1931.0117647058814}",,
00000000000000000010,CDF,1119423600000,14,,1119682800000,1,,0,PARADISE,00000140,0.0,3081.73,00006312,0,1,3082.0,CA,1.24713006576E7,33271.2478555,BDU,2005,2005,"{71=53.1843137254902, 24=1.0313725490196077, 90=133.7058823529412, 23=23.529411764705884, 22=268.79215686274506, 21=355.1372549019608, 52=13020.15294117649}",,
000000000000000004b5,CDF,1116313200000,4,,1116399600000,1,,0,APRICOT,00005337,0.0,667.123,00005337,0,1,600.0,CA,2699749.70318,7395.08775373,FKU,2005,2005,"{71=2986.4313725490197, 52=13.0}",,
000000000000000004bd,CDF,1120287600000,14,,1120287600000,1,,0,BAILEY,00000199,0.0,1024.54,00011965,0,1,740.0,CA,4146162.71756,10120.8890911,MMU,2005,2005,"{71=1057.5725490196078, 42=2822.423529411765, 41=7.152941176470588, 43=504.81176470588247, 21=88.51372549019611, 52=126.05490196078432}",,
000000000000000004c1,CDF,1127199600000,1,,1127199600000,1,,0,LA PALOMA,00000348,0.0,751.308,00018135,0,1,700.0,CA,3040435.17502,9725.33598383,MMU,2005,2005,"{71=3376.4000000000005, 52=1.6862745098039214}",,
000000000000000004c4,CDF,1122274800000,14,,1122447600000,1,,0,QUARTZ,00000241,0.0,547.361,00013780,0,1,550.0,CA,2215089.77984,7195.83348219,MMU,2005,2005,"{71=620.4078431372549, 42=774.921568627451, 41=6.972549019607843, 43=46.85098039215686, 52=1011.7764705882358}",,
000000000000000004c6,CDF,1126767600000,14,,1126767600000,1,,0,URROTIA,00000338,0.0,420.424,00017739,0,1,400.0,CA,1701397.18993,9862.5429375,MMU,2005,2005,"{21=3.3568627450980384, 71=1882.1647058823526, 52=4.709803921568628}",,
000000000000000004cc,CDF,1125990000000,7,,1126249200000,1,,0,VOLCAN,00000724,0.0,617.582,00007518,0,1,685.0,CA,2499265.95394,8183.87219435,MVU,2005,2005,"{71=635.8823529411769, 43=232.22352941176467, 42=1431.0862745098034, 41=4.0, 22=17.03529411764706, 21=205.50588235294111, 52=250.8078431372549}",,
000000000000000004cd,CDF,1128495600000,9,,1128495600000,1,,0,BORDER#50,00000861,0.0,3862.9,00008488,0,1,4100.0,CA,1.17820956104E7,25746.9509507,MVU,2005,2005,"{71=8286.843137254902, 90=168.87058823529415, 95=30.0, 82=287.99999999999994, 21=494.7137254901961, 23=1.0, 22=25.858823529411765, 43=7.0, 11=5.0, 52=3762.482352941177}",,
000000000000000004d0,CDF,1126940400000,18,,1127026800000,1,,0,LICHENS,00000297,0.0,746.627,00004410,0,1,746.0,CA,3021492.08466,10869.1121608,SKU,2005,2005,"{71=2787.3921568627443, 81=4.101960784313725, 42=36.76470588235294, 52=528.435294117647}",,
000000000000000004d3,CDF,1122361200000,7,,1122361200000,1,,0,KOOPMAN,10000094,0.0,395.246,00003058,0,1,395.0,CA,1599504.62496,7756.92437694,SCU,2005,2005,"{71=1170.4117647058818, 23=0.4117647058823529, 43=131.8705882352941, 22=2.5137254901960784, 21=15.533333333333333, 52=456.1725490196078}",,
