"","MAPMETHOD","AGENCY","COMPLEXNM","INCOMPLEX","FIRE_NAME","YEAR","GIS_ACRES","ALARM_DATE","CONT_DATE","CAUSE","YEARn"
"1","Mixed Methods","CDF",NA,"N","CAMP","2018",145134.810595,NA,NA,0,49
"2","Mixed Methods","USFS",NA,"N","CARR","2018",229651.39948,NA,NA,0,49
"3","Infrared Image","CDF",NA,"N","COUNTY","2018",89776.5435214,NA,NA,0,49
"4","Infrared Image","USFS",NA,"N","CRANSTON","2018",13229.1585215,NA,NA,0,49
"5","Mixed Methods","USFS",NA,"N","DELTA","2018",63505.6002545,NA,NA,0,49
"6","Infrared Image","USFS",NA,"N","DONNELL","2018",36544.619463,NA,NA,0,49
"7","Mixed Methods","USFS",NA,"N","FERGUSON","2018",96831.2072884,NA,NA,0,49
"8","Infrared Image","USFS",NA,"N","HIRZ","2018",46458.1006908,NA,NA,0,49
"9","Infrared Image","USFS",NA,"N","HOLY","2018",23025.3422424,NA,NA,0,49
"10","Unknown","State Agency",NA,"N","KLAMATHON","2018",38008.788217,NA,NA,0,49
"11","Mixed Methods","USFS",NA,"N","LIONS","2018",13461.362135,NA,NA,0,49
"12","Infrared Image","CDF","Mendocino Complex","Y","RANCH","2018",410202.526686,NA,NA,0,49
"13","Mixed Methods","CDF","Mendocino Complex","Y","RANCH","2018",410202.463318,NA,NA,0,49
"14","Mixed Methods","CDF","Mendocino Complex","Y","RIVER","2018",48920.3996889,NA,NA,0,49
"15","Infrared Image","USFS",NA,"N","Natchez","2018",38657.9984524,NA,NA,0,49
"16","GPS-Flight","CDF",NA,"N","PAWNEE","2018",15197.2201468,NA,NA,0,49
"17","Infrared Image","USFS",NA,"N","STONE","2018",39387.0284701,NA,NA,0,49
"18","Unknown","C&L",NA,"N","THOMAS","2017",281795.832318,NA,NA,0,48
"19","Mixed Methods","USFS",NA,"N","WHALEBACK","2018",18702.5061832,NA,NA,0,49
"20","Mixed Methods","Local Agency",NA,"N","WOOLSEY","2018",99997.4885759,NA,NA,0,49
"21",NA,"USF",NA,NA,"RANCH","2007",58410.3359375,2007-10-20,2007-11-15,2,38
"22",NA,"CCO",NA,NA,"WHITE","2007",12432.1601563,2007-06-24,2007-06-29,2,38
"23",NA,"DOD",NA,NA,"AMMO","2007",21493.9082031,2007-10-23,2007-11-01,14,38
"24",NA,"CDF",NA,NA,"SANTIAGO","2007",28429.9804688,2007-10-21,2007-11-08,9,38
"25",NA,"USF",NA,NA,"SLIDE","2007",12769.2480469,2007-10-22,2007-11-14,9,38
"26",NA,"USF",NA,NA,"MOONLIGHT","2007",64959.9570313,2007-09-03,2007-09-25,2,38
"27",NA,"USF",NA,NA,"OAK","2007",27062.8691406,2007-07-06,2007-07-13,1,38
"28",NA,"CDF",NA,NA,"POOMACHA","2007",49410.96875,2007-10-23,2007-12-01,9,38
"29",NA,"CDF",NA,NA,"LICK","2007",47748.2734375,2007-09-03,2007-09-15,5,38
"30",NA,"CCO",NA,NA,"BUCKWEED","2007",38347.4726563,2007-10-21,2007-10-21,8,38
"31",NA,"CDF",NA,NA,"WITCH","2007",162070.46875,2007-10-21,2007-10-31,9,38
"32",NA,"CDF",NA,NA,"ZACA","2007",240358.703125,2007-07-04,2007-09-02,2,38
"33",NA,"USF",NA,NA,"WHEELER","2007",22331.9238281,2007-07-05,2007-07-21,1,38
"34",NA,"USF",NA,NA,"BUTLER #2","2007",13736.2705078,2007-09-14,2007-12-31,9,38
"35",NA,"USF",NA,NA,"KING CREEK","2007",10477.3789063,2007-07-10,2007-12-06,1,38
"36",NA,"CDF",NA,NA,"HARRIS 2","2007",90728.328125,2007-10-21,2007-11-02,14,38
"37",NA,"BLM",NA,NA,"CHINA LAKE","2005",10357.5683594,2005-07-18,2005-07-24,16,36
"38",NA,"BLM",NA,NA,"BARREL","2005",24410.2167969,2005-08-22,2005-09-09,1,36
"39",NA,"USF",NA,NA,"PIRU","2003",63726.40625,2003-10-23,2003-10-31,2,34
"40",NA,"USF",NA,NA,"OLD","2003",91428,2003-10-25,2003-11-15,7,34
"41",NA,"USF",NA,NA,"CROWN","2004",11754.265625,2004-07-21,2004-07-25,2,35
"42",NA,"CCO",NA,NA,"PINE","2004",16271.6523438,2004-07-12,2004-07-23,9,35
"43",NA,"CDF",NA,NA,"CERRITO","2004",16447.3984375,2004-05-03,2004-05-07,8,35
"44",NA,"CDF",NA,NA,"RICO","2006",14509.4248047,2006-07-22,2006-07-27,1,37
"45",NA,"USF",NA,NA,"POWER","2004",16983.0703125,2004-10-06,2004-10-21,2,35
"46",NA,"CCO",NA,NA,"SIMI FIRE","2003",107570.398438,2003-10-25,NA,14,34
"47",NA,"CDF",NA,NA,"MOUNTAIN","2003",10331.3935547,2003-10-26,2003-11-08,14,34
"48",NA,"USF",NA,NA,"BISCUIT","2002",501082.03125,2002-07-13,2002-11-08,1,33
"49",NA,"CDF",NA,NA,"CREEK FIRE","2001",11095.1191406,2001-08-18,2001-08-24,7,32
"50",NA,"USF",NA,NA,"CANNON","2002",26684.1347656,2002-06-15,2002-07-16,4,33
"51",NA,"USF",NA,NA,"COYOTE","2003",18704.7792969,2003-07-16,2003-07-23,1,34
"52",NA,"CDF",NA,NA,"DARBY","2001",14280.4775391,2001-09-05,2001-09-24,14,32
"53",NA,"USF",NA,NA,"BLUE","2001",34218.8476563,2001-08-08,2001-08-21,1,32
"54",NA,"CDF",NA,NA,"ANNIE","2003",18210.4003906,2003-08-27,2003-09-18,1,34
"55",NA,"CDF",NA,NA,"CANOE","2003",11043.5644531,2003-09-03,2003-10-06,1,34
"56",NA,"USF",NA,NA,"CEDAR-Iron Complex","2008",25391.7265625,2008-06-21,2008-07-31,1,39
"57",NA,"USF",NA,NA,"IRONSIDE-Iron Complex","2008",12834.1152344,2008-06-20,2008-07-31,1,39
"58",NA,"USF",NA,NA,"LIME","2008",24884.7382813,2008-06-20,2008-08-13,1,39
"59",NA,"USF",NA,NA,"NOBLE","2008",12984.6992188,2008-06-21,2008-07-08,1,39
"60",NA,"USF",NA,NA,"BULL","2010",16448.2246094,2010-07-25,2010-07-31,9,41
"61",NA,"CDF",NA,NA,"PECHANGA","2000",11733.9814453,2000-07-29,NA,14,31
"62",NA,"DOD",NA,NA,"CANYON","2016",12713.6220703,NA,2016-09-28,14,47
"63",NA,"CDF",NA,NA,"RUMSEY","2004",38763.015625,2004-10-10,2004-10-17,7,35
"64",NA,"CDF",NA,NA,"GEYSERS","2004",12244.3994141,2004-09-03,2004-09-15,2,35
"65",NA,"USF",NA,NA,"TROUGH","2001",24927.3378906,2001-08-08,2001-08-20,9,32
"66",NA,"USF",NA,NA,"VIEJAS","2001",10438.0195313,2001-01-03,2001-01-09,3,32
"67",NA,"USF",NA,NA,"PERKINS","2006",14922.9931641,2006-06-19,2006-07-20,1,37
"68",NA,"USF",NA,NA,"MANTER","2000",79223.4296875,2000-07-22,2000-09-06,9,31
"69",NA,"USF",NA,NA,"STAR","2001",16464.6015625,2001-08-25,2001-09-22,9,32
"70",NA,"CDF",NA,NA,"SAWTOOTH COMPLEX","2006",61767.1757813,2006-07-09,2006-07-18,1,37
"71",NA,"CDF",NA,NA,"MARTIS","2001",14126.8193359,2001-06-17,NA,4,32
"72",NA,"CDF",NA,NA,"PINES","2002",61691.2382813,2002-07-29,2002-08-11,11,33
"73",NA,"CCO",NA,NA,"COPPER FIRE","2002",19101.6445313,2002-06-05,2002-06-12,2,33
"74",NA,"USF",NA,NA,"CURVE","2002",20870.75,2002-09-01,2002-09-14,9,33
"75",NA,"USF",NA,NA,"WILLIAMS","2002",38118.953125,2002-09-22,2002-10-10,7,33
"76",NA,"CCO",NA,NA,"WOLF","2002",21641.1386719,2002-06-01,2002-06-14,9,33
"77",NA,"USF",NA,NA,"PADUA","2003",10457.8603516,2003-10-25,2003-11-03,7,34
"78",NA,"USF",NA,NA,"GRAND PRIX","2003",50617.9375,2003-10-21,2003-11-14,7,34
"79",NA,"CDF",NA,NA,"HONEYDEW","2003",11794.328125,2003-09-04,2003-10-07,1,34
"80",NA,"CCO",NA,NA,"TOPANGA","2005",23396.390625,2005-09-28,2005-10-10,14,36
"81",NA,"BLM",NA,NA,"MINE/OTAY","2003",44734.1289063,2003-10-26,2003-10-30,9,34
"82",NA,"CDF",NA,NA,"FRENCH","2004",12675.3505859,2004-08-14,2004-08-16,14,35
"83",NA,"CDF",NA,NA,"BEAR","2004",10441.7207031,2004-08-11,2004-09-05,2,35
"84",NA,"USF",NA,NA,"MCNALLY","2002",149475.28125,2002-07-21,2002-08-28,4,33
"85",NA,"USF",NA,NA,"STORRIE","2000",56076.3320313,2000-08-17,2000-09-27,6,31
"86",NA,"USF",NA,NA,"PARADISE","2003",56545.6953125,2003-10-26,2003-11-04,7,34
"87",NA,"USF",NA,NA,"CEDAR","2003",270686,2003-10-25,2003-11-05,2,34
"88",NA,"LRA",NA,NA,"ZAM ASSIST","2006",13968.875,2006-09-22,2006-09-22,14,37
"89",NA,"USF",NA,NA,"SIERRA","2006",10591.9755859,2006-02-06,2006-02-22,18,37
"90",NA,"CDF",NA,NA,"SHEKELL","2006",13618.0888672,2006-12-03,2006-12-09,14,37
"91",NA,"USF",NA,NA,"MILLARD","2006",24218.8984375,2006-07-09,2006-08-01,1,37
"92",NA,"USF",NA,NA,"HORSE","2006",16677.6152344,2006-07-23,2006-07-29,4,37
"93",NA,"USF",NA,NA,"HANCOCK","2006",21866.1308594,2006-07-24,2006-11-13,1,37
"94",NA,"USF",NA,NA,"PIGEON","2006",35093.765625,2006-09-02,2006-10-10,9,37
"95",NA,"USF",NA,NA,"BAKE-OVEN","2006",65050.0507813,2006-07-23,2006-11-30,1,37
"96",NA,"USF",NA,NA,"HUNTER","2006",16234.2675781,2006-07-24,2006-09-07,1,37
"97",NA,"USF",NA,NA,"SOMES","2006",15506.2011719,2006-07-24,2006-10-18,1,37
"98",NA,"USF",NA,NA,"DAY","2006",161815.65625,2006-09-04,2006-10-30,5,37
"99",NA,"CDF",NA,NA,"ESPERANZA","2006",40176.8007813,2006-10-26,2006-10-30,7,37
